ID;X;Y;TIME;DESIRE;ACTIVITY;COMMENTS
H4511;-14.43028898;16.48814272;14:00;FEED;d‚jeuner;cour 
H4511;-14.43028898;16.48814272;15:00;WANDER;pr‚parer le th‚;cour
H4511;-14.43007984;16.48786931;16:00;REST;dormir;chambre
H4511;-14.4302715;16.48765083;17:00;WANDER;jouer au ballon;village
H4511;-14.43028898;16.48814272;19:00;REST;repos;cour
H4511;-14.43028898;16.48814272;21:00;FEED;diner;cour
H4511;-14.43012685;16.48800918;22:00;STILL;r‚viser;salon
H4513;-14.43007954;16.48808146;00:00;REST;Dormir;chambre 
H4513;-14.43007954;16.48808146;06:00;WANDER;pri‚re+ pr‚paratif ‚cole;chambre
H4513;233;0;07:40;STILL;aller … l'‚cole;School
H4513;-14.43026552;16.4881623;14:00;FEED;d‚jeuner;cour 
H4513;-14.43026552;16.4881623;15:00;WANDER;pr‚parer le th‚;cour
H4513;-14.43007954;16.48808146;16:00;REST;dormir;chambre
H4513;-14.42968853;16.48759503;17:00;WANDER;jouer au ballon;village
H4513;-14.43026552;16.4881623;19:00;REST;repos;cour
H4513;-14.43026552;16.4881623;21:00;FEED;diner;cour
H4513;-14.43012685;16.48800918;22:00;STILL;r‚viser;salon
H4515;-14.43024509;16.48815112;07:30;WANDER;pri‚re;cour
H4515;-14.43024509;16.48815112;08:00;FEED;pri‚re+ petit dej;cour
H4515;-14.43024509;16.48815112;09:00;WANDER;Tache m‚nagŠre;cour
H4515;-14.43046448;16.48817621;10:00;WANDER;entrer dans le magasin;magasin
H4515;-14.43040443;16.48837162;10:30;WANDER;preparer dejeuner;cuisine 
H4515;-14.43024509;16.48815112;14:00;FEED;d‚jeuner;cour
H4515;-14.43024509;16.48815112;15:00;REST;repos;cour
H4515;-14.43040443;16.48837162;16:00;WANDER;pr‚parer sauce;cuisine
H4515;-14.42797409;16.48828585;18:00;WANDER;visiter ses amis;village
H4515;-14.43040443;16.48837162;19:00;WANDER;pr‚parer diner;cuisine
